chapter_title,chapter_nr,book_title
25 Return to Bandar Eban,25,Towers of Midnight
26 Parley,26,Towers of Midnight
27 A Call to Stand,27,Towers of Midnight
28 Oddities,28,Towers of Midnight
29 A Terrible Feeling,29,Towers of Midnight
30 Men Dream Here,30,Towers of Midnight
31 Into the Void,31,Towers of Midnight
32 A Storm of Light,32,Towers of Midnight
33 A Good Soup,33,Towers of Midnight
34 Judgment,34,Towers of Midnight
35 The Right Thing,35,Towers of Midnight
36 An Invitation,36,Towers of Midnight
37 Darkness in the Tower,37,Towers of Midnight
38 Wounds,38,Towers of Midnight
39 In the Three-fold Land,39,Towers of Midnight
40 A Making,40,Towers of Midnight
41 An Unexpected Ally,41,Towers of Midnight
42 Stronger than Blood,42,Towers of Midnight
43 Some Tea,43,Towers of Midnight
44 A Backhanded Request,44,Towers of Midnight
45 A Reunion,45,Towers of Midnight
46 Working Leather,46,Towers of Midnight
47 A Teaching Chamber,47,Towers of Midnight
48 Near Avendesora,48,Towers of Midnight
49 Court of the Sun,49,Towers of Midnight
50 Choosing Enemies,50,Towers of Midnight
51 A Testing,51,Towers of Midnight
52 Boots,52,Towers of Midnight
53 Gateways,53,Towers of Midnight
54 The Light of the World,54,Towers of Midnight
55 The One Left Behind,55,Towers of Midnight
56 Something Wrong,56,Towers of Midnight
57 A Rabbit for Supper,57,Towers of Midnight
Epilogue: And After,Epilogue,Towers of Midnight
Prologue: By Grace and Banner Fallen,Prologue,A Memory of Light
1. Eastward the Wind Blew,1,A Memory of Light
2. The Choice of an Ajah,2,A Memory of Light
3. A Dangerous Place,3,A Memory of Light
4. Advantages to a Bond,4,A Memory of Light
5. To Require a Boon,5,A Memory of Light
6. A Knack,6,A Memory of Light
7. Into the Thick of It,7,A Memory of Light
8. That Smoldering City,8,A Memory of Light
9. To Die Well,9,A Memory of Light
10. The Use of Dragons,10,A Memory of Light
11. Just Another Sell-sword,11,A Memory of Light
12. A Shard of a Moment,12,A Memory of Light
13. What Must Be Done,13,A Memory of Light
14. Doses of Forkroot,14,A Memory of Light
15. Your Neck in a Cord,15,A Memory of Light
16. A Silence Like Screaming,16,A Memory of Light
"17. Older, More Weathered",17,A Memory of Light
18. To Feel Wasted,18,A Memory of Light
